##############################################################################
# Memory Diffs, Focus Probes, and Region Summaries
# Source: BEDiag dumps from real Casio BE-300 hardware
##############################################################################

--- DIFF SUMMARY ---
--- PASS DIFFERENCES ---

#-----------------------------------------------------------------------------
# [DIFF_REGION] (245 entries)
#-----------------------------------------------------------------------------
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=108 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=128 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=147 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=22 detailed_words_logged=22
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=267 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=275 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=276 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=28 detailed_words_logged=28
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=320 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=333 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=36 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=367 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=407 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=47 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=53 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=62 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=67 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=78 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=94 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_base changed_words_total=97 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=117 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=124 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=130 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=144 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=148 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=155 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=159 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=161 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=220 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=232 detailed_words_logged=32
